no,CSGO_gunwalking_100000.mp4,CSGO_gunwalking_1200000.mp4,CSGO_gunwalking_2100000.mp4,CSGO_gunwalking_21000000.mp4,CSGO_gunwalking_5200000.mp4,CSGO_headshot_100000.mp4,CSGO_headshot_1200000.mp4,CSGO_headshot_21000000.mp4,CSGO_headshot_2300000.mp4,CSGO_headshot_5900000.mp4,GTAV_plane2_100000.mp4,GTAV_plane2_1200000.mp4,GTAV_plane2_21000000.mp4,GTAV_plane2_300000.mp4,GTAV_plane2_400000.mp4,MINECRAFT_minecraft1_1500000.mp4,MINECRAFT_minecraft1_21000000.mp4,MINECRAFT_minecraft1_3600000.mp4,MINECRAFT_minecraft1_600000.mp4,MINECRAFT_minecraft1_9800000.mp4,Marathon_100000.mp4,Marathon_2000000.mp4,Marathon_21000000.mp4,Marathon_5100000.mp4,Marathon_800000.mp4,Netflix_CosmosLaundromat_magic_100000.mp4,Netflix_CosmosLaundromat_magic_1600000.mp4,Netflix_CosmosLaundromat_magic_21000000.mp4,Netflix_CosmosLaundromat_magic_300000.mp4,Netflix_CosmosLaundromat_magic_700000.mp4,Netflix_CosmosLaundromat_sheep1_100000.mp4,Netflix_CosmosLaundromat_sheep1_1200000.mp4,Netflix_CosmosLaundromat_sheep1_21000000.mp4,Netflix_CosmosLaundromat_sheep1_3300000.mp4,Netflix_CosmosLaundromat_sheep1_500000.mp4,Netflix_CosmosLaundromat_sheep3_1600000.mp4,Netflix_CosmosLaundromat_sheep3_200000.mp4,Netflix_CosmosLaundromat_sheep3_21000000.mp4,Netflix_CosmosLaundromat_sheep3_5100000.mp4,Netflix_CosmosLaundromat_sheep3_600000.mp4,Netflix_CosmosLaundromat_sheep4_100000.mp4,Netflix_CosmosLaundromat_sheep4_200000.mp4,Netflix_CosmosLaundromat_sheep4_21000000.mp4,Netflix_CosmosLaundromat_sheep4_2300000.mp4,Netflix_CosmosLaundromat_sheep4_700000.mp4,Netflix_CosmosLaundromat_sheep5_100000.mp4,Netflix_CosmosLaundromat_sheep5_1300000.mp4,Netflix_CosmosLaundromat_sheep5_200000.mp4,Netflix_CosmosLaundromat_sheep5_21000000.mp4,Netflix_CosmosLaundromat_sheep5_400000.mp4,Netflix_ballet10_100000.mp4,Netflix_ballet10_21000000.mp4,Netflix_ballet10_300000.mp4,Netflix_ballet10_3600000.mp4,Netflix_ballet10_900000.mp4,Netflix_ballet11_100000.mp4,Netflix_ballet11_1600000.mp4,Netflix_ballet11_21000000.mp4,Netflix_ballet11_5200000.mp4,Netflix_ballet11_600000.mp4,Netflix_ballet12_100000.mp4,Netflix_ballet12_1000000.mp4,Netflix_ballet12_21000000.mp4,Netflix_ballet12_3400000.mp4,Netflix_ballet12_400000.mp4,Netflix_ballet2_100000.mp4,Netflix_ballet2_1100000.mp4,Netflix_ballet2_21000000.mp4,Netflix_ballet2_300000.mp4,Netflix_ballet2_500000.mp4,Netflix_ballet4_100000.mp4,Netflix_ballet4_21000000.mp4,Netflix_ballet4_300000.mp4,Netflix_ballet4_400000.mp4,Netflix_ballet4_900000.mp4,Netflix_ballet9_100000.mp4,Netflix_ballet9_200000.mp4,Netflix_ballet9_21000000.mp4,Netflix_ballet9_2400000.mp4,Netflix_ballet9_400000.mp4,Netflix_beach_100000.mp4,Netflix_beach_1000000.mp4,Netflix_beach_200000.mp4,Netflix_beach_21000000.mp4,Netflix_beach_300000.mp4,Netflix_cave_100000.mp4,Netflix_cave_200000.mp4,Netflix_cave_21000000.mp4,Netflix_cave_300000.mp4,Netflix_cave_500000.mp4,Netflix_cliff_100000.mp4,Netflix_cliff_1000000.mp4,Netflix_cliff_21000000.mp4,Netflix_cliff_300000.mp4,Netflix_cliff_400000.mp4,Netflix_stairs_100000.mp4,Netflix_stairs_1100000.mp4,Netflix_stairs_21000000.mp4,Netflix_stairs_300000.mp4,Netflix_stairs_500000.mp4,RUST_beach_100000.mp4,RUST_beach_1700000.mp4,RUST_beach_21000000.mp4,RUST_beach_500000.mp4,RUST_beach_8000000.mp4,RUST_lake_100000.mp4,RUST_lake_2100000.mp4,RUST_lake_21000000.mp4,RUST_lake_7000000.mp4,RUST_lake_900000.mp4,RUST_settlement_100000.mp4,RUST_settlement_11400000.mp4,RUST_settlement_21000000.mp4,RUST_settlement_2500000.mp4,RUST_settlement_800000.mp4,WITCHER3_wolves2_100000.mp4,WITCHER3_wolves2_1500000.mp4,WITCHER3_wolves2_21000000.mp4,WITCHER3_wolves2_400000.mp4,WITCHER3_wolves2_8500000.mp4,cablelabs_Eldorado_herbs_100000.mp4,cablelabs_Eldorado_herbs_1400000.mp4,cablelabs_Eldorado_herbs_21000000.mp4,cablelabs_Eldorado_herbs_300000.mp4,cablelabs_Eldorado_herbs_600000.mp4,cablelabs_Eldorado_path_100000.mp4,cablelabs_Eldorado_path_1400000.mp4,cablelabs_Eldorado_path_21000000.mp4,cablelabs_Eldorado_path_3500000.mp4,cablelabs_Eldorado_path_700000.mp4,cablelabs_Eldorado_water_100000.mp4,cablelabs_Eldorado_water_1400000.mp4,cablelabs_Eldorado_water_21000000.mp4,cablelabs_Eldorado_water_3400000.mp4,cablelabs_Eldorado_water_9000000.mp4,cablelabs_Skateboarding_4K_skater_3_100000.mp4,cablelabs_Skateboarding_4K_skater_3_1000000.mp4,cablelabs_Skateboarding_4K_skater_3_21000000.mp4,cablelabs_Skateboarding_4K_skater_3_3000000.mp4,cablelabs_Skateboarding_4K_skater_3_400000.mp4,cablelabs_Skateboarding_4K_skater_leaves_1_100000.mp4,cablelabs_Skateboarding_4K_skater_leaves_1_1000000.mp4,cablelabs_Skateboarding_4K_skater_leaves_1_200000.mp4,cablelabs_Skateboarding_4K_skater_leaves_1_21000000.mp4,cablelabs_Skateboarding_4K_skater_leaves_1_400000.mp4,cablelabs_Unspoken_Friend_hooves_1100000.mp4,cablelabs_Unspoken_Friend_hooves_200000.mp4,cablelabs_Unspoken_Friend_hooves_21000000.mp4,cablelabs_Unspoken_Friend_hooves_300000.mp4,cablelabs_Unspoken_Friend_hooves_500000.mp4,cablelabs_Wipe_HDR_ONLY_butterfly_4_100000.mp4,cablelabs_Wipe_HDR_ONLY_butterfly_4_21000000.mp4,cablelabs_Wipe_HDR_ONLY_butterfly_4_300000.mp4,cablelabs_Wipe_HDR_ONLY_butterfly_4_400000.mp4,cablelabs_Wipe_HDR_ONLY_butterfly_4_800000.mp4,cablelabs_Wipe_HDR_ONLY_caterpillar_2_100000.mp4,cablelabs_Wipe_HDR_ONLY_caterpillar_2_1700000.mp4,cablelabs_Wipe_HDR_ONLY_caterpillar_2_21000000.mp4,cablelabs_Wipe_HDR_ONLY_caterpillar_2_300000.mp4,cablelabs_Wipe_HDR_ONLY_caterpillar_2_600000.mp4,cablelabs_Wipe_HDR_ONLY_dry_tree_100000.mp4,cablelabs_Wipe_HDR_ONLY_dry_tree_2100000.mp4,cablelabs_Wipe_HDR_ONLY_dry_tree_21000000.mp4,cablelabs_Wipe_HDR_ONLY_dry_tree_500000.mp4,cablelabs_Wipe_HDR_ONLY_dry_tree_800000.mp4,cablelabs_Wipe_HDR_ONLY_forest_100000.mp4,cablelabs_Wipe_HDR_ONLY_forest_1400000.mp4,cablelabs_Wipe_HDR_ONLY_forest_21000000.mp4,cablelabs_Wipe_HDR_ONLY_forest_5600000.mp4,cablelabs_Wipe_HDR_ONLY_forest_700000.mp4
0,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
0,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
0,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
0,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
0,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
0,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
0,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
0,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
0,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
0,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
