src,hrc_key,desired_metric,achieved_metric,distance_index,distance
Barbara_(test_image).jpg,A,1,1,None,0
Barbara_(test_image).jpg,B,0.659951634396917,0.6624404788017273,39,0.002488844404810342
Barbara_(test_image).jpg,C,0.45775766648680044,0.4597311019897461,18,0.001973435502945653
Barbara_(test_image).jpg,D,0.3375324138621293,0.3444291353225708,11,0.006896721460441513
Barbara_(test_image).jpg,E,0.26604605095,0.2737852931022644,8,0.007739242152264403
Barbara_(test_image).jpg,F,0.22354000524961462,0.2209753841161728,6,0.00256462113344183
Barbara_(test_image).jpg,G,0.1611954868,0.15846724808216095,4,0.00272823871783906
Lenna_(test_image).jpg,A,1,1,None,0
Lenna_(test_image).jpg,B,0.659951634396917,0.6585581302642822,38,0.0013935041326347264
Lenna_(test_image).jpg,C,0.45775766648680044,0.45947450399398804,18,0.0017168375071875963
Lenna_(test_image).jpg,D,0.3375324138621293,0.33871808648109436,11,0.0011856726189650724
Lenna_(test_image).jpg,E,0.26604605095,0.2718276381492615,8,0.005781587199261473
Lenna_(test_image).jpg,F,0.22354000524961462,0.22088058292865753,6,0.002659422320957089
Lenna_(test_image).jpg,G,0.1611954868,0.16330525279045105,4,0.00210976599045104
People_001_h.jpg,A,1,1,None,0
People_001_h.jpg,B,0.659951634396917,0.6551723480224609,40,0.0047792863744560155
People_001_h.jpg,C,0.45775766648680044,0.4635842442512512,18,0.00582657776445078
People_001_h.jpg,D,0.3375324138621293,0.34665656089782715,11,0.00912414703569786
People_001_h.jpg,E,0.26604605095,0.2561347186565399,7,0.009911332293460084
People_001_h.jpg,F,0.22354000524961462,0.2316247820854187,6,0.00808477683580408
People_001_h.jpg,G,0.1611954868,0.16805829107761383,4,0.006862804277613821
People_002_v.jpg,A,1,1,None,0
People_002_v.jpg,B,0.659951634396917,0.6623185276985168,36,0.0023668933015998928
People_002_v.jpg,C,0.45775766648680044,0.4514952600002289,15,0.006262406486571559
People_002_v.jpg,D,0.3375324138621293,0.33750301599502563,9,2.939786710365322e-05
People_002_v.jpg,E,0.26604605095,0.25898483395576477,6,0.007061216994235231
People_002_v.jpg,F,0.22354000524961462,0.2283691167831421,5,0.004829111533527469
People_002_v.jpg,G,0.1611954868,0.15728668868541718,3,0.003908798114582834
People_003_h.jpg,A,1,1,None,0
People_003_h.jpg,B,0.659951634396917,0.6597880721092224,40,0.00016356228769454084
People_003_h.jpg,C,0.45775766648680044,0.4622131288051605,18,0.004455462318360082
People_003_h.jpg,D,0.3375324138621293,0.3427613079547882,11,0.00522889409265892
People_003_h.jpg,E,0.26604605095,0.2538522481918335,7,0.012193802758166505
People_003_h.jpg,F,0.22354000524961462,0.22834762930870056,6,0.004807624059085941
People_003_h.jpg,G,0.1611954868,0.17611713707447052,4,0.01492165027447051
People_004_h.jpg,A,1,1,None,0
People_004_h.jpg,B,0.659951634396917,0.6600902676582336,44,0.00013863326131668963
People_004_h.jpg,C,0.45775766648680044,0.45261409878730774,19,0.0051435676994927015
